1 Bar Leather,2 Bar Leather,3 Bar Leather,4 Bar Leather,1 Bar Felt,2 Bar Felt,3 Bar Felt,4 Bar Felt
1.438,2.465,3.83,4.968,1.179,2.52,3.33,4.335
1.421,2.458,3.818,4.975,1.175,2.537,3.324,4.337
1.418,2.465,3.814,4.987,1.17,2.542,3.323,4.341
1.43,2.489,3.796,4.996,1.163,2.523,3.323,4.344
1.433,2.515,3.756,5.001,1.16,2.472,3.328,4.347
1.426,2.53,3.732,5.006,1.165,2.418,3.342,4.347
1.414,2.521,3.723,5.011,1.175,2.384,3.357,4.353
1.423,2.508,3.716,5.018,1.179,2.382,3.357,4.354
1.43,2.496,3.716,5.037,1.173,2.398,3.35,4.358
1.416,2.499,3.727,5.054,1.179,2.417,3.347,4.354
1.402,2.504,3.725,5.075,1.197,2.437,3.343,4.344
1.39,2.504,3.716,5.09,1.218,2.461,3.335,4.332
1.376,2.494,3.711,5.107,1.225,2.466,3.318,4.316
1.333,2.478,3.704,5.118,1.223,2.472,3.302,4.304
1.318,2.466,3.696,5.121,1.22,2.47,3.276,4.287
1.378,2.472,3.692,5.123,1.21,2.456,3.252,4.265
1.404,2.475,3.699,5.126,1.187,2.429,3.237,4.246
1.418,2.46,3.716,5.126,1.154,2.394,3.233,4.241
1.419,2.439,3.73,5.13,1.132,2.374,3.226,4.237
1.426,2.427,3.74,5.138,1.137,2.375,3.214,4.232
1.412,2.415,3.739,5.152,1.141,2.377,3.209,4.225
1.392,2.403,3.747,5.176,1.146,2.382,3.209,4.225
1.369,2.396,3.761,5.204,1.142,2.391,3.207,4.217
1.34,2.386,3.759,5.23,1.151,2.401,3.202,4.225
1.323,2.387,3.737,5.25,1.156,2.401,3.194,4.243
1.332,2.394,3.703,5.267,1.161,2.391,3.189,4.251
1.345,2.401,3.67,5.274,1.168,2.377,3.192,4.277
1.354,2.406,3.66,5.281,1.173,2.368,3.207,4.303
1.35,2.405,3.673,5.276,1.192,2.367,3.238,4.329
1.337,2.406,3.701,5.271,1.228,2.377,3.264,4.354
1.287,2.408,3.728,5.276,1.275,2.382,3.295,4.37
1.333,2.403,3.742,5.281,1.306,2.377,3.316,4.378
1.385,2.413,3.74,5.288,1.314,2.356,3.323,4.389
1.35,2.423,3.72,5.293,1.316,2.336,3.333,4.415
1.313,2.408,3.685,5.293,1.323,2.322,3.342,4.445
